"","moduleLabels","moduleColors"
"CENPB",0,"grey"
"CCDC71L",3,"brown"
"TBRG1",0,"grey"
"FAXDC2",0,"grey"
"CSTB",0,"grey"
"HILPDA",1,"turquoise"
"CENPI",1,"turquoise"
"GTF2E2",0,"grey"
"ZNF737",1,"turquoise"
"FPR2",2,"blue"
"FZD3",1,"turquoise"
"AKAP8",0,"grey"
"SOCS5",0,"grey"
"CFDP1",0,"grey"
"RNMT",0,"grey"
"ZHX1",0,"grey"
"FOSB",0,"grey"
"CENPK",1,"turquoise"
"SLC27A2",5,"green"
"TMEM135",1,"turquoise"
"ZNF789",1,"turquoise"
"UPF3B",0,"grey"
"RPL23A",4,"yellow"
"TCF23",1,"turquoise"
"UBE2V1",0,"grey"
"POLD1",5,"green"
"DMWD",0,"grey"
"CALD1",0,"grey"
"AIG1",1,"turquoise"
"POM121C",0,"grey"
"PYGO1",1,"turquoise"
"CNNM3",1,"turquoise"
"ALAS2",9,"magenta"
"WRNIP1",3,"brown"
"MRPL23",0,"grey"
"PSMA6",4,"yellow"
"ALMS1",0,"grey"
"DCN",1,"turquoise"
"SUCLG2",4,"yellow"
"AMPD2",2,"blue"
"IFNAR2",1,"turquoise"
"CYB5A",1,"turquoise"
"FAM240B",1,"turquoise"
"NRBF2",2,"blue"
"KCTD3",0,"grey"
"PCNX3",0,"grey"
"SLC30A3",0,"grey"
"NXPE3",1,"turquoise"
"IFRD2",0,"grey"
"PYCR2",3,"brown"
"TMLHE",0,"grey"
"ABCA5",0,"grey"
"BICRA",0,"grey"
"NDUFS3",1,"turquoise"
"WDR3",1,"turquoise"
"TTC33",3,"brown"
"ALG1",1,"turquoise"
"TBC1D23",0,"grey"
"MAP2K3",9,"magenta"
"ATXN2L",0,"grey"
"SCAP",0,"grey"
"ZNF486",1,"turquoise"
"PRCC",0,"grey"
"CCDC126",0,"grey"
"ZNF675",1,"turquoise"
"SMAP2",2,"blue"
"CALCOCO1",0,"grey"
"CWF19L2",0,"grey"
"BRAF",0,"grey"
"AAK1",1,"turquoise"
"PEBP1",6,"red"
"COL1A2",0,"grey"
"RMND1",1,"turquoise"
"UBR4",6,"red"
"PROCR",1,"turquoise"
"PASK",0,"grey"
"ZNF776",1,"turquoise"
"GULP1",0,"grey"
"RBM48",1,"turquoise"
"H1-4",0,"grey"
"ALPL",2,"blue"
"ABLIM1",3,"brown"
"MAST3",0,"grey"
"RHBDD1",3,"brown"
"RYBP",3,"brown"
"TTC26",1,"turquoise"
"ZNF22",4,"yellow"
"ISCA2",1,"turquoise"
"PNP",0,"grey"
"C15orf61",1,"turquoise"
"PIGM",1,"turquoise"
"ACTR2",2,"blue"
"HMGB1",3,"brown"
"RAP1GDS1",0,"grey"
"KARS1",0,"grey"
"DBNL",0,"grey"
"ZNF554",1,"turquoise"
"RAE1",0,"grey"
"TNIK",3,"brown"
"TVP23C",14,"cyan"
"RYK",0,"grey"
"SOX7",0,"grey"
"BID",2,"blue"
"NUFIP2",2,"blue"
"ZDHHC2",0,"grey"
"MBNL2",0,"grey"
"ADD3",3,"brown"
"NUBP2",1,"turquoise"
"CAPN3",1,"turquoise"
"RECQL",0,"grey"
"AP1G1",2,"blue"
"CTNNBL1",0,"grey"
"ECHDC1",0,"grey"
"SMARCC1",0,"grey"
"GNAI3",1,"turquoise"
"NAXE",1,"turquoise"
"CD4",0,"grey"
"IRF1",1,"turquoise"
"PTPRE",2,"blue"
"ENSG00000289346",1,"turquoise"
"DOP1B",1,"turquoise"
"PTK2B",0,"grey"
"PLAAT4",4,"yellow"
"SOX4",8,"pink"
"TSPAN3",1,"turquoise"
"SH2D1A",4,"yellow"
"USP20",0,"grey"
"DUSP22",0,"grey"
"MCRS1",0,"grey"
"PKD1",5,"green"
"JAM3",3,"brown"
"LAPTM4A",2,"blue"
"MYOM1",3,"brown"
"PHKG2",1,"turquoise"
"DIAPH2",0,"grey"
"CLN8",1,"turquoise"
"CRYZL1",1,"turquoise"
"PTPN12",3,"brown"
"CIB2",0,"grey"
"HRK",1,"turquoise"
"MAML2",0,"grey"
"COG6",0,"grey"
"NFATC1",0,"grey"
"SCYL1",0,"grey"
"SCOC",4,"yellow"
"CTDSPL2",0,"grey"
"NAPG",0,"grey"
"RHD",1,"turquoise"
"PLCG1",0,"grey"
"ANKRD10",3,"brown"
"SLC16A7",0,"grey"
"TAGLN2",0,"grey"
"MDH1",1,"turquoise"
"RBM33",2,"blue"
"DPH3",0,"grey"
"THYN1",0,"grey"
"SEPTIN6",0,"grey"
"KATNAL1",1,"turquoise"
"PGRMC2",0,"grey"
"UBE2I",0,"grey"
"ATP11A",2,"blue"
"ARL5B",2,"blue"
"SLC25A5",4,"yellow"
"MYO1C",0,"grey"
"FAS",1,"turquoise"
"KIFAP3",3,"brown"
"BTN3A2",0,"grey"
"CNKSR3",1,"turquoise"
"CSTF3",1,"turquoise"
"PRKCI",0,"grey"
"ZNF574",0,"grey"
"VWA8",0,"grey"
"DRAXIN",1,"turquoise"
"RPL12",4,"yellow"
"COMMD2",0,"grey"
"WIZ",1,"turquoise"
"SPRYD4",1,"turquoise"
"COPA",0,"grey"
"KIF11",0,"grey"
"ZNF175",1,"turquoise"
"SLC40A1",3,"brown"
"TRMT112",4,"yellow"
"OR7D4",1,"turquoise"
"CD36",3,"brown"
"KIAA1143",0,"grey"
"DCAF12",9,"magenta"
"ANAPC13",0,"grey"
"SLCO3A1",2,"blue"
"FANCL",0,"grey"
"SH3GLB1",2,"blue"
"KBTBD6",0,"grey"
"SUPT5H",0,"grey"
"XRCC6",4,"yellow"
"FAM133B",0,"grey"
"KCTD18",0,"grey"
"C12orf76",3,"brown"
"SOS2",2,"blue"
"USP16",0,"grey"
"ABO",1,"turquoise"
"TRAF3",1,"turquoise"
"GALNT5",8,"pink"
"ALG14",1,"turquoise"
"WDR75",0,"grey"
"TEX261",0,"grey"
"ZFAND4",0,"grey"
"SNRPA",11,"greenyellow"
"FCRL3",0,"grey"
"PRDX1",0,"grey"
"FGB",6,"red"
"NACC2",2,"blue"
"COX17",0,"grey"
"TMCC2",0,"grey"
"TCF12",0,"grey"
"ZNF721",0,"grey"
"SNRPF",0,"grey"
"ZNF641",0,"grey"
"EMG1",0,"grey"
"PRRG4",1,"turquoise"
"HIRA",0,"grey"
"MYNN",0,"grey"
"AEBP2",1,"turquoise"
"TBXA2R",1,"turquoise"
"PCDHB11",1,"turquoise"
"RNF144A",1,"turquoise"
"PRKCD",0,"grey"
"NDUFB4",4,"yellow"
"ANTXR2",2,"blue"
"MYO10",0,"grey"
"PEX1",0,"grey"
"RBM19",0,"grey"
"TAPBP",1,"turquoise"
"RUNX1",0,"grey"
"MID1",0,"grey"
"DBF4",0,"grey"
"TSHZ2",0,"grey"
"RIPK2",0,"grey"
"PPTC7",2,"blue"
"STON2",3,"brown"
"CSTF2T",0,"grey"
"SNX31",1,"turquoise"
"IREB2",0,"grey"
"GRSF1",0,"grey"
"PDCD7",1,"turquoise"
"NAA16",0,"grey"
"MAGT1",1,"turquoise"
"MS4A6A",0,"grey"
"FTL",0,"grey"
"DYRK2",0,"grey"
"ARIH2",1,"turquoise"
"TERB1",1,"turquoise"
"PROSER1",0,"grey"
"CDKN2D",3,"brown"
"STUB1",0,"grey"
"RASA4",0,"grey"
"DYNLL2",3,"brown"
"PRR14L",0,"grey"
"CCNL2",0,"grey"
"CDC42SE1",2,"blue"
"EIF2S3",0,"grey"
"AP2A1",9,"magenta"
"TBC1D2B",0,"grey"
"NAA20",0,"grey"
"GSN",0,"grey"
"SMARCA5",2,"blue"
"PLEKHG3",1,"turquoise"
"DGKZ",0,"grey"
"SENP6",2,"blue"
"AKR7A2",0,"grey"
"H4C5",4,"yellow"
"LARP1",0,"grey"
"SRBD1",0,"grey"
"SLC1A2",1,"turquoise"
"MPO",0,"grey"
"KLK2",1,"turquoise"
"VIM",18,"lightgreen"
"SUMO3",1,"turquoise"
"NAA50",1,"turquoise"
"SMIM7",0,"grey"
"TMEM209",1,"turquoise"
"SAMD9L",2,"blue"
"ABCE1",4,"yellow"
"ADAMTS4",1,"turquoise"
"MAN1C1",1,"turquoise"
"HELZ2",0,"grey"
"COX20",0,"grey"
"CACUL1",1,"turquoise"
"HSPA6",2,"blue"
"PHC2",2,"blue"
"LIN7A",2,"blue"
"SVOP",0,"grey"
"TRIM26",0,"grey"
"GID4",11,"greenyellow"
"ORAI1",0,"grey"
"ZNF578",1,"turquoise"
"APAF1",1,"turquoise"
"NEK1",0,"grey"
"UBA3",0,"grey"
"TNK2",0,"grey"
"IFNGR2",1,"turquoise"
"ITPR1",3,"brown"
"CEP83",1,"turquoise"
"TBC1D20",1,"turquoise"
"DDAH2",0,"grey"
"SHPRH",0,"grey"
"STX7",2,"blue"
"ATXN3",1,"turquoise"
"TRIM27",0,"grey"
"ADO",0,"grey"
"RNF187",0,"grey"
"GBP2",2,"blue"
"MRC2",5,"green"
"MTARC1",1,"turquoise"
"C1orf52",0,"grey"
"GRK2",0,"grey"
"LRPPRC",0,"grey"
"NDUFAF7",1,"turquoise"
"TM4SF18",4,"yellow"
"TMEM169",1,"turquoise"
"SNX2",0,"grey"
"RBX1",17,"grey60"
"ANKRD54",1,"turquoise"
"TSNAX",0,"grey"
"MYO18A",1,"turquoise"
"ZBTB7A",0,"grey"
"MTSS2",0,"grey"
"ATM",1,"turquoise"
"GARRE1",0,"grey"
"PRRC2C",2,"blue"
"BLOC1S3",1,"turquoise"
"RNFT2",1,"turquoise"
"NDFIP2",5,"green"
"USP45",0,"grey"
"TNS1",9,"magenta"
"CD9",3,"brown"
"SRGN",2,"blue"
"CASP7",0,"grey"
"USP53",0,"grey"
"VMAC",1,"turquoise"
"MCRIP1",1,"turquoise"
"TMEM106A",1,"turquoise"
"CDC20",6,"red"
"ACSL5",6,"red"
"C1orf87",8,"pink"
"CBWD5",2,"blue"
"LYPLA2",0,"grey"
"SLC35B3",5,"green"
"SLC4A7",0,"grey"
"GART",0,"grey"
"THOP1",0,"grey"
"PBOV1",1,"turquoise"
"PTPA",1,"turquoise"
"GREM1",1,"turquoise"
"QPCT",2,"blue"
"SUN2",11,"greenyellow"
"UTP23",0,"grey"
"PRKAG2",0,"grey"
"WASF3",3,"brown"
"DRG1",0,"grey"
"SPCS1",0,"grey"
"SRP19",1,"turquoise"
"MFSD1",3,"brown"
"RNF138",0,"grey"
"DYNLRB1",17,"grey60"
"AIF1",2,"blue"
"MAP4K5",3,"brown"
"LASP1",1,"turquoise"
"PLAA",0,"grey"
"VPS35L",0,"grey"
"ARHGAP23",8,"pink"
"MCL1",2,"blue"
"EHBP1",0,"grey"
"PRNP",0,"grey"
"TLE5",4,"yellow"
"ASGR1",6,"red"
"PTBP1",0,"grey"
"USP37",0,"grey"
"LIMS4",0,"grey"
"HEATR1",0,"grey"
"PSME1",0,"grey"
"NAA35",1,"turquoise"
"TMEM154",2,"blue"
"MTX3",1,"turquoise"
"SF1",0,"grey"
"NUP210",0,"grey"
"RAB11B",0,"grey"
"ITGB3BP",0,"grey"
"PPAN",0,"grey"
"YWHAB",2,"blue"
"ACAP1",0,"grey"
"CNEP1R1",11,"greenyellow"
"SLC7A2",6,"red"
"CLK1",2,"blue"
"TNFAIP1",0,"grey"
"VDR",1,"turquoise"
"PSMA2",8,"pink"
"RTN4",2,"blue"
"FOXP4",1,"turquoise"
"MFSD2B",0,"grey"
"RPL26",4,"yellow"
"GNL3L",1,"turquoise"
"UHRF1BP1",3,"brown"
"SGPP2",0,"grey"
"CD163",0,"grey"
"GIMAP2",4,"yellow"
"CD37",4,"yellow"
"PRKAR2B",3,"brown"
"TBL1X",2,"blue"
"GPR65",0,"grey"
"FUT1",1,"turquoise"
"DFFA",1,"turquoise"
"NOCT",1,"turquoise"
"OSTC",0,"grey"
"WDR11",0,"grey"
"CMTM2",2,"blue"
"NT5C3A",3,"brown"
"EZH1",0,"grey"
"CD59",0,"grey"
"CDK9",0,"grey"
"ERP29",0,"grey"
"TTR",6,"red"
"DDIT4",0,"grey"
"BST2",0,"grey"
"CYP1A2",1,"turquoise"
"SH3BP5L",0,"grey"
"SERINC5",8,"pink"
"MRPL3",4,"yellow"
"POMP",0,"grey"
"INPP4B",0,"grey"
"GMPPB",1,"turquoise"
"EAPP",0,"grey"
"AHSA1",0,"grey"
"NME2",4,"yellow"
"GPR183",0,"grey"
"HIVEP2",2,"blue"
"SUMO2",1,"turquoise"
"TASOR2",0,"grey"
"TXK",0,"grey"
"HACD3",0,"grey"
"ORC2",0,"grey"
"SNRPA1",0,"grey"
"KIF6",1,"turquoise"
"SLC5A5",1,"turquoise"
"IL12RB2",1,"turquoise"
"ZNF354B",10,"purple"
"UBL3",2,"blue"
"PIK3CG",2,"blue"
"NLN",1,"turquoise"
"BCORL1",0,"grey"
"HNRNPF",0,"grey"
"COL28A1",1,"turquoise"
"LRATD2",1,"turquoise"
"TFDP1",9,"magenta"
"GTPBP4",0,"grey"
"TUBGCP2",15,"midnightblue"
"S1PR1",4,"yellow"
"CIC",2,"blue"
"TNPO3",0,"grey"
"IRGM",0,"grey"
"HTT",0,"grey"
"TRAPPC8",5,"green"
"DCUN1D1",9,"magenta"
"KDM4C",0,"grey"
"DAB2IP",0,"grey"
"TSR2",1,"turquoise"
"CYB5R1",3,"brown"
"TPGS2",0,"grey"
"RAB3D",1,"turquoise"
"ERBB3",1,"turquoise"
"DCUN1D4",0,"grey"
"SDC1",6,"red"
"ATP6V1H",0,"grey"
"SYK",2,"blue"
"HNRNPDL",0,"grey"
"NUP58",2,"blue"
"H2BC6",0,"grey"
"TDG",0,"grey"
"MRPS5",1,"turquoise"
"TDRD12",1,"turquoise"
"OGFOD3",1,"turquoise"
"XPO1",0,"grey"
"LDAF1",0,"grey"
"NEMF",2,"blue"
"CLU",6,"red"
"RPS12",4,"yellow"
"PABPC4",0,"grey"
"SNTN",1,"turquoise"
"CXCL12",0,"grey"
"ABCB10",0,"grey"
"ENDOD1",3,"brown"
"IDI1",2,"blue"
"KCTD6",8,"pink"
"DEFB105A",1,"turquoise"
"ZDHHC5",2,"blue"
"COMMD10",4,"yellow"
"KLHL12",0,"grey"
"ARAP2",4,"yellow"
"NR5A2",1,"turquoise"
"EHD3",3,"brown"
"FAR1",2,"blue"
"CAPRIN2",0,"grey"
"ODAPH",1,"turquoise"
"SF3B1",2,"blue"
"IPO7",4,"yellow"
"ALDH1A1",6,"red"
"PIP4P2",3,"brown"
"HELLS",1,"turquoise"
"RNASEL",8,"pink"
"TNS4",1,"turquoise"
"NAV1",0,"grey"
"RAMAC",0,"grey"
"RETREG3",0,"grey"
"TM2D2",3,"brown"
"SMIM36",1,"turquoise"
"FAM32A",0,"grey"
"ANK1",9,"magenta"
"WASHC2A",0,"grey"
"PPM1L",3,"brown"
"MMUT",0,"grey"
"SETDB2",4,"yellow"
"MON2",0,"grey"
"HNF4A",6,"red"
"FAM185A",0,"grey"
"TNFRSF10B",1,"turquoise"
"RABEP1",0,"grey"
"CTDSP1",0,"grey"
"FAM98C",13,"salmon"
"DBN1",0,"grey"
"ACAD10",1,"turquoise"
"RPS19",4,"yellow"
"SMIM14",1,"turquoise"
"OTUD5",0,"grey"
"SLC41A2",0,"grey"
"KHSRP",0,"grey"
"IBTK",4,"yellow"
"FBL",4,"yellow"
"H3-7",0,"grey"
"CAMK1D",1,"turquoise"
"KMT2A",0,"grey"
"GDI2",4,"yellow"
"MLF2",0,"grey"
"CEBPA",6,"red"
"AFMID",1,"turquoise"
"C2CD2",0,"grey"
"S100A10",4,"yellow"
"COX5B",4,"yellow"
"RRP12",0,"grey"
"SUPT20H",2,"blue"
"ARID3B",3,"brown"
"CD3G",1,"turquoise"
"MRS2",0,"grey"
"PPAT",5,"green"
"NIPA1",0,"grey"
"DPP8",2,"blue"
"IL7R",1,"turquoise"
"ZFP64",1,"turquoise"
"TLR4",2,"blue"
"RAB12",8,"pink"
"DDX51",1,"turquoise"
"ZNF517",1,"turquoise"
"PPP2R5D",0,"grey"
"ZNF587",1,"turquoise"
"DOCK5",8,"pink"
"DSEL",1,"turquoise"
"MLH3",3,"brown"
"DPEP2",11,"greenyellow"
"COPB1",2,"blue"
"TMOD1",9,"magenta"
"PRELID1",4,"yellow"
"HLA-DMA",0,"grey"
"PHF13",0,"grey"
"MARK4",0,"grey"
"ENSG00000285982",0,"grey"
"MBD3",1,"turquoise"
"SLC35A3",1,"turquoise"
"AMOTL1",0,"grey"
"CLEC16A",0,"grey"
"PAICS",1,"turquoise"
"MMD",3,"brown"
"NIT2",1,"turquoise"
"SERPINB10",0,"grey"
"ATP5F1B",4,"yellow"
"WSB2",0,"grey"
"CACYBP",0,"grey"
"JAK1",2,"blue"
"MT-CO2",17,"grey60"
"GPD2",3,"brown"
"CDV3",13,"salmon"
"GALNT11",0,"grey"
"FLOT1",0,"grey"
"MMP25",2,"blue"
"TOR1AIP2",1,"turquoise"
"CHST5",1,"turquoise"
"LYRM4",1,"turquoise"
"HIPK2",3,"brown"
"GPANK1",1,"turquoise"
"ZMIZ1",2,"blue"
"DAP",0,"grey"
"DDX58",2,"blue"
"AKT1",0,"grey"
"CDC34",9,"magenta"
"RNF125",1,"turquoise"
"MFSD13A",1,"turquoise"
"RRM2B",2,"blue"
"COL6A3",0,"grey"
"GNPAT",0,"grey"
"HSD17B12",0,"grey"
"SUDS3",0,"grey"
"H1-0",6,"red"
"CYP2B6",0,"grey"
"STIMATE",0,"grey"
"POLR2C",0,"grey"
"HPX",6,"red"
"ANKRD27",0,"grey"
"EIF3K",0,"grey"
"HPS5",0,"grey"
"SLFN5",0,"grey"
"ANTKMT",5,"green"
"PPIE",0,"grey"
"SREK1",0,"grey"
"GP5",1,"turquoise"
"PGLS",0,"grey"
"BSND",1,"turquoise"
"ANKRD34A",0,"grey"
"LCN2",0,"grey"
"SV2C",1,"turquoise"
"ZNF490",1,"turquoise"
"CBX5",1,"turquoise"
"PPP2R5E",0,"grey"
"ASB7",0,"grey"
"SFT2D1",2,"blue"
"DERL1",0,"grey"
"MOAP1",0,"grey"
"PLEKHM2",0,"grey"
"MIEF2",1,"turquoise"
"SEPHS2",0,"grey"
"PRICKLE1",0,"grey"
"KHDRBS1",0,"grey"
"BRD3OS",1,"turquoise"
"PPP1R18",0,"grey"
"PSEN1",2,"blue"
"PLA2G4B",1,"turquoise"
"DNAJC24",1,"turquoise"
"RFX7",0,"grey"
"MEX3C",0,"grey"
"PDIA4",6,"red"
"CASP2",0,"grey"
"SERBP1",4,"yellow"
"TESC",0,"grey"
"YTHDC1",0,"grey"
"JUN",0,"grey"
"AGMAT",1,"turquoise"
"ATAD5",0,"grey"
"STK38",2,"blue"
"RBP1",1,"turquoise"
"CA6",1,"turquoise"
"CEP57",0,"grey"
"AR",6,"red"
"EPB41L5",0,"grey"
"POLR3D",1,"turquoise"
"E2F3",3,"brown"
"FGD6",0,"grey"
"TMF1",2,"blue"
"RPS6KC1",0,"grey"
"DAAM1",3,"brown"
"SCML4",0,"grey"
"TNFRSF10D",0,"grey"
"INPP5A",3,"brown"
"ATG14",1,"turquoise"
"TRAF3IP1",0,"grey"
"SMARCE1",0,"grey"
"VRK1",0,"grey"
"ARHGAP27",5,"green"
"RNF44",2,"blue"
"EMSY",0,"grey"
"DPYSL3",4,"yellow"
"APP",3,"brown"
"CMTM7",0,"grey"
"SLC16A10",5,"green"
"KBTBD7",2,"blue"
"PTGIS",1,"turquoise"
"KRT23",2,"blue"
"PNKD",0,"grey"
"UBC",18,"lightgreen"
"ATRN",6,"red"
"TINCR",1,"turquoise"
"RANGAP1",6,"red"
"PDE12",1,"turquoise"
"NADK2",1,"turquoise"
"ATP5MC3",4,"yellow"
"UTP20",0,"grey"
"MMGT1",0,"grey"
"PDF",1,"turquoise"
"ANKRD36B",0,"grey"
"ZNF785",1,"turquoise"
"MPL",1,"turquoise"
"GLTP",1,"turquoise"
"C9orf78",0,"grey"
"ADAM12",12,"tan"
"PAK1",13,"salmon"
"ADCY7",2,"blue"
"SIDT1",0,"grey"
"DCAF5",0,"grey"
"C1RL",1,"turquoise"
"TLN1",3,"brown"
"MITF",3,"brown"
"NSMCE4A",0,"grey"
"FNBP1L",3,"brown"
"SLC33A1",1,"turquoise"
"TRIM33",2,"blue"
"TMCC3",2,"blue"
"FBXO42",0,"grey"
"RNF14",0,"grey"
"RAB3IP",0,"grey"
"SLC4A8",1,"turquoise"
"COX6C",0,"grey"
"NSMCE2",0,"grey"
"CASTOR2",1,"turquoise"
"SLC13A1",0,"grey"
"ARF6",4,"yellow"
"HMGN1",0,"grey"
"ZNF718",0,"grey"
"CXADR",1,"turquoise"
"TSC22D1",3,"brown"
"PUF60",0,"grey"
"SHC1",1,"turquoise"
"TANGO2",1,"turquoise"
"HOOK3",1,"turquoise"
"S1PR2",1,"turquoise"
"LIMS2",0,"grey"
"CLCC1",1,"turquoise"
"PIK3R5",2,"blue"
"CDC14A",0,"grey"
"KRT1",0,"grey"
"INTS6",1,"turquoise"
"SMC3",0,"grey"
"GSS",1,"turquoise"
"ANLN",0,"grey"
"SSTR2",1,"turquoise"
"CHRNA5",1,"turquoise"
"ALDH3A2",0,"grey"
"CLEC1B",3,"brown"
"ADGRE3",2,"blue"
"MT-ND4L",17,"grey60"
"PPIL4",0,"grey"
"A2ML1",1,"turquoise"
"TRUB2",1,"turquoise"
"ZNF280C",1,"turquoise"
"PF4",3,"brown"
"QDPR",0,"grey"
"SLC38A10",0,"grey"
"SIPA1",0,"grey"
"BTN3A1",2,"blue"
"THAP12",4,"yellow"
"FABP5",4,"yellow"
"SORT1",2,"blue"
"PLIN2",6,"red"
"YWHAQ",4,"yellow"
"SPPL3",3,"brown"
"ENOSF1",1,"turquoise"
"TMEM120B",1,"turquoise"
"RPLP1",4,"yellow"
"ALCAM",2,"blue"
"ABHD2",2,"blue"
"DENND1A",0,"grey"
"QPRT",1,"turquoise"
"TRAM1",3,"brown"
"ATP1B4",1,"turquoise"
"UBXN4",0,"grey"
"H2AC8",4,"yellow"
"ADAM19",2,"blue"
"CCT8",4,"yellow"
"POGZ",1,"turquoise"
"ZZEF1",2,"blue"
"RANBP6",0,"grey"
"LDHB",4,"yellow"
"RAB5B",1,"turquoise"
"CRIPT",1,"turquoise"
"NDUFA2",0,"grey"
"TRIP12",0,"grey"
"KCNE3",0,"grey"
"PLD6",1,"turquoise"
"NKAIN3",1,"turquoise"
"RASSF5",2,"blue"
"ATAD3B",1,"turquoise"
"PRXL2C",1,"turquoise"
"IKZF3",1,"turquoise"
"SEC11C",0,"grey"
"TMEM14C",0,"grey"
"EZR",0,"grey"
"HINT3",1,"turquoise"
"ARIH1",1,"turquoise"
"RPL32",4,"yellow"
"IGFL4",1,"turquoise"
"WDR62",1,"turquoise"
"ATP5PD",4,"yellow"
"KIF2A",3,"brown"
"PABIR2",3,"brown"
"ZCCHC9",1,"turquoise"
"ARL6IP6",0,"grey"
"TENT5C",9,"magenta"
"RARB",1,"turquoise"
"UBXN7",0,"grey"
"ZNF320",1,"turquoise"
"PICALM",2,"blue"
"CNOT6",0,"grey"
"DHX15",0,"grey"
"TCF4",0,"grey"
"FXN",1,"turquoise"
"PAEP",1,"turquoise"
"SPG11",2,"blue"
"KCNJ13",5,"green"
"NOC3L",0,"grey"
"TIAM1",0,"grey"
"PBX1",3,"brown"
"UBL7",0,"grey"
"SYTL1",0,"grey"
"FAM126B",1,"turquoise"
"GGA1",1,"turquoise"
"VAMP4",0,"grey"
"BCAP29",1,"turquoise"
"ZNF275",0,"grey"
"NEK6",2,"blue"
"HEXIM1",0,"grey"
"KLHL9",0,"grey"
"ENSG00000282988",0,"grey"
"MED18",1,"turquoise"
"ECE1",0,"grey"
"BCL2L15",1,"turquoise"
"SNN",3,"brown"
"C6orf62",2,"blue"
"ASAP2",3,"brown"
"YIPF6",9,"magenta"
"PROX1",6,"red"
"MAP3K7CL",3,"brown"
"SSRP1",13,"salmon"
"ASXL2",2,"blue"
"GC",6,"red"
"IER3",0,"grey"
"KCTD10",1,"turquoise"
"CSRP1",0,"grey"
"MOSPD1",0,"grey"
"TMEM170A",1,"turquoise"
"RAD1",1,"turquoise"
"NFRKB",0,"grey"
"DDX39A",0,"grey"
"VTI1A",0,"grey"
"REXO5",14,"cyan"
"ASAP1",3,"brown"
"GVQW3",1,"turquoise"
"IKBKG",0,"grey"
"AMMECR1",0,"grey"
"SEC13",0,"grey"
"HAGH",1,"turquoise"
"EGF",3,"brown"
"VSIG1",1,"turquoise"
"NCAPD3",0,"grey"
"BRCC3",0,"grey"
"AGO2",2,"blue"
"RPS10-NUDT3",8,"pink"
"RBM26",0,"grey"
"AP4M1",1,"turquoise"
"DNAJC16",0,"grey"
"SNX13",2,"blue"
"CSPP1",0,"grey"
"LRRC56",1,"turquoise"
"THY1",1,"turquoise"
"TBC1D8",0,"grey"
"SLC50A1",1,"turquoise"
"SVIP",0,"grey"
"MARVELD3",1,"turquoise"
"CRCP",1,"turquoise"
"ABHD17A",0,"grey"
"MED25",0,"grey"
"FDX1",0,"grey"
"IL13RA1",2,"blue"
"EIF2B2",0,"grey"
"WIPI2",0,"grey"
"RANBP1",11,"greenyellow"
"CSNK2B",0,"grey"
"WBP11",0,"grey"
"TEX2",0,"grey"
"GALNT2",0,"grey"
"STK3",0,"grey"
"REPS2",2,"blue"
"FAM78A",0,"grey"
"FCGR3A",2,"blue"
"VEZT",0,"grey"
"CCNK",2,"blue"
"CD200",0,"grey"
"ORMDL1",11,"greenyellow"
"GFUS",0,"grey"
"C1GALT1",1,"turquoise"
"ZNF468",1,"turquoise"
"USP11",0,"grey"
"IMPA2",0,"grey"
"PRKDC",2,"blue"
"MSR1",0,"grey"
"PDCD6IP",2,"blue"
"ZNF740",0,"grey"
"ATXN2",0,"grey"
"NET1",4,"yellow"
"LGALS12",0,"grey"
"IK",0,"grey"
"GCNT2",0,"grey"
"SURF4",6,"red"
"PIGBOS1",1,"turquoise"
"BCAS2",0,"grey"
"ACE2",1,"turquoise"
"DNA2",0,"grey"
"IRS2",2,"blue"
"SIK2",1,"turquoise"
"RPL17",4,"yellow"
"ZNF514",0,"grey"
"ZKSCAN1",1,"turquoise"
"FASTKD2",1,"turquoise"
"KCNMB3",1,"turquoise"
"GNG2",0,"grey"
"MDH2",0,"grey"
"BCL6",2,"blue"
"TXNL4A",0,"grey"
"POR",6,"red"
"SREBF2",0,"grey"
"TRUB1",0,"grey"
"UXT",4,"yellow"
"SLC31A2",2,"blue"
"ALG11",0,"grey"
"ZNF780B",1,"turquoise"
"APEX1",0,"grey"
"CEP68",0,"grey"
"MRPL11",0,"grey"
"VPS53",1,"turquoise"
"UBE2L3",0,"grey"
"NATD1",0,"grey"
"ATP6V1E1",0,"grey"
"SCART1",1,"turquoise"
"SAR1A",0,"grey"
"C3orf70",1,"turquoise"
"MCTP2",2,"blue"
"BIRC2",9,"magenta"
"NLGN3",1,"turquoise"
"SLC9A3R2",4,"yellow"
"TIMP1",3,"brown"
"TPST2",1,"turquoise"
"MAVS",1,"turquoise"
"PWWP2A",0,"grey"
"SMG1",2,"blue"
"PIP5K1C",13,"salmon"
"POU2F2",0,"grey"
"TSPAN14",1,"turquoise"
"NAA40",0,"grey"
"NUDT16",0,"grey"
"PDK4",0,"grey"
"NNMT",0,"grey"
"ERGIC3",4,"yellow"
"TARBP1",0,"grey"
"FBXO30",0,"grey"
"COLEC12",1,"turquoise"
"SLC2A1",0,"grey"
"RPH3A",0,"grey"
"CWC25",1,"turquoise"
"ATP2A3",3,"brown"
"ZIK1",0,"grey"
"RECQL5",0,"grey"
"SMAP1",0,"grey"
"FGD2",0,"grey"
"P2RY14",2,"blue"
"PPP1CA",0,"grey"
"ZNF33B",0,"grey"
"NAP1L1",3,"brown"
